Name	Number of nodes	Number of undirected edges	Number of connected components	Nodes in prize
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-BCWIHOB/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-BT43SSB/pathway.txt	21	11	10	21
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-BWBJXCI/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-CFRLPFS/pathway.txt	117	71	46	117
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-CLSW7IX/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-CMNB4CQ/pathway.txt	531	522	9	380
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-CONXCX6/pathway.txt	1196	1195	1	891
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-CPONR2V/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-DEO2FEL/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-DWPQE5Z/pathway.txt	51	27	24	51
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-E4BAAHV/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-E6XYQUV/pathway.txt	10	5	5	10
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-E7GZKEF/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-E7ZV2E2/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-EDZLRZX/pathway.txt	6	3	3	6
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-EFATY23/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-EHF5KLG/pathway.txt	2	1	1	2
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-EJRAASV/pathway.txt	1212	1211	1	899
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-EWQJPXQ/pathway.txt	25	13	12	25
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-FAZ5DVM/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-FHKS5UM/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-FJFHM4B/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-FOKAGCR/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-FTLMILF/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-FWQJUSM/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-GCP63S7/pathway.txt	1212	1211	1	899
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-GJFKNCV/pathway.txt	8	4	4	8
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-GO2N3KB/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-GPMC33W/pathway.txt	2	1	1	2
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-H7EHITA/pathway.txt	1120	1119	1	846
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-HFDIKZJ/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-HHKM6M2/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-HNOBXWH/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-IDKBCGE/pathway.txt	1196	1195	1	891
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-IFZMDH3/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-J4SLYEX/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-K3GD4T4/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-LMMA24K/pathway.txt	1196	1195	1	891
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-LSRFVTU/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-LWQEKPD/pathway.txt	96	56	40	96
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-M3GH3UR/pathway.txt	10	5	5	10
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-MALZJHI/pathway.txt	1212	1211	1	899
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-MDVIM3A/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-N453PBH/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-NKIXW5N/pathway.txt	531	522	9	380
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-NPQVSOD/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-O63XNGJ/pathway.txt	2	1	1	2
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-OPHVKIP/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-P2EDWW4/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-P2YCBRC/pathway.txt	21	11	10	21
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-PFTGOYR/pathway.txt	123	77	46	123
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-PIKDLAU/pathway.txt	12	6	6	12
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-PZO7THM/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-QUIRTTI/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-RS3XU42/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-S3CKW7T/pathway.txt	59	31	28	59
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-SRM2IMQ/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-T5RC7S4/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-TNHP3EN/pathway.txt	8	4	4	8
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-TXITEBW/pathway.txt	2	1	1	2
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-UMLZIEJ/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-UTGTBF2/pathway.txt	19	10	9	19
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-V5EDW7Z/pathway.txt	2	1	1	2
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-VLZ45R5/pathway.txt	25	13	12	25
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-VUVK64I/pathway.txt	1120	1119	1	846
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-W6FCUFU/pathway.txt	2	1	1	2
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-WOOLFN6/pathway.txt	21	11	10	21
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-WT2Q3AA/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-X2KJ37J/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-X4ISGLE/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-XICNZ55/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-XKCURJE/pathway.txt	1120	1119	1	846
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-XOR6A3C/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-XP6FASD/pathway.txt	1196	1195	1	891
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-XRUFYBG/pathway.txt	2	1	1	2
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-XURK2EO/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-YB3KWTF/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-YHZSEM6/pathway.txt	10	5	5	10
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-YJOLE7U/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-Z4OA4LZ/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-05-omicsintegrator1-params-ZNBNBHH/pathway.txt	2	1	1	2
