Name	Number of nodes	Number of undirected edges	Number of connected components	Nodes in prize
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-DEO2FEL/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-DWPQE5Z/pathway.txt	188	122	66	188
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-E4BAAHV/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-E6XYQUV/pathway.txt	40	21	19	40
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-E7GZKEF/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-E7ZV2E2/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-EDZLRZX/pathway.txt	24	12	12	24
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-EFATY23/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-EHF5KLG/pathway.txt	14	7	7	14
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-EJRAASV/pathway.txt	1775	1774	1	1425
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-EWQJPXQ/pathway.txt	104	61	43	104
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-FAZ5DVM/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-FHKS5UM/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-FJFHM4B/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-FOKAGCR/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-FTLMILF/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-FWQJUSM/pathway.txt	2	1	1	2
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-GCP63S7/pathway.txt	1775	1774	1	1425
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-GJFKNCV/pathway.txt	20	10	10	20
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-GO2N3KB/pathway.txt	2	1	1	2
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-GPMC33W/pathway.txt	10	5	5	10
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-H7EHITA/pathway.txt	1667	1666	1	1363
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-HFDIKZJ/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-HHKM6M2/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-HNOBXWH/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-IDKBCGE/pathway.txt	1765	1764	1	1417
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-IFZMDH3/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-J4SLYEX/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-K3GD4T4/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-LMMA24K/pathway.txt	1765	1764	1	1417
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-LSRFVTU/pathway.txt	2	1	1	2
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-LWQEKPD/pathway.txt	288	205	83	288
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-M3GH3UR/pathway.txt	28	14	14	28
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-MALZJHI/pathway.txt	1775	1774	1	1425
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-MDVIM3A/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-N453PBH/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-NKIXW5N/pathway.txt	829	809	20	660
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-NPQVSOD/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-O63XNGJ/pathway.txt	10	5	5	10
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-OPHVKIP/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-P2EDWW4/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-P2YCBRC/pathway.txt	82	46	36	82
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-PFTGOYR/pathway.txt	377	298	79	377
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-PIKDLAU/pathway.txt	42	23	19	42
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-PZO7THM/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-QUIRTTI/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-RS3XU42/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-S3CKW7T/pathway.txt	234	164	70	234
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-SRM2IMQ/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-T5RC7S4/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-TNHP3EN/pathway.txt	24	12	12	24
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-TXITEBW/pathway.txt	4	2	2	4
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-UMLZIEJ/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-UTGTBF2/pathway.txt	77	43	34	77
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-V5EDW7Z/pathway.txt	8	4	4	8
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-VLZ45R5/pathway.txt	96	54	42	96
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-VUVK64I/pathway.txt	1667	1666	1	1363
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-W6FCUFU/pathway.txt	10	5	5	10
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-WOOLFN6/pathway.txt	98	58	40	98
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-WT2Q3AA/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-X2KJ37J/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-X4ISGLE/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-XICNZ55/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-XKCURJE/pathway.txt	1667	1666	1	1363
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-XOR6A3C/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-XP6FASD/pathway.txt	1765	1764	1	1417
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-XRUFYBG/pathway.txt	6	3	3	6
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-XURK2EO/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-YB3KWTF/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-YHZSEM6/pathway.txt	34	17	17	34
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-YJOLE7U/pathway.txt	0	0	0	0
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-Z4OA4LZ/pathway.txt	2	1	1	2
output/egfr/hiv-omics-benchmarking-060-omicsintegrator1-params-ZNBNBHH/pathway.txt	14	7	7	14
