Node1	Node2	Frequency	Direction
AKT1_HUMAN	PALLD_HUMAN	0.04	D
AKT1_HUMAN	PDCD4_HUMAN	0.04	D
AKT1_HUMAN	PEA15_HUMAN	0.04	D
AKT1_HUMAN	PHF20_HUMAN	0.04	D
AKT1_HUMAN	PRPK_HUMAN	0.04	D
AKT1_HUMAN	ROA1_HUMAN	0.04	D
AKT1_HUMAN	TBCD4_HUMAN	0.04	D
AKT1_HUMAN	TERA_HUMAN	0.04	D
AKT1_HUMAN	TRMB_HUMAN	0.04	D
AKT1_HUMAN	WNK1_HUMAN	0.04	D
AKT1_HUMAN	ZYX_HUMAN	0.04	D
AKT2_HUMAN	DP13A_HUMAN	0.04	U
AMFR_HUMAN	INSI1_HUMAN	0.04	U
AMFR_HUMAN	TERA_HUMAN	0.04	U
AMFR_HUMAN	UB2G2_HUMAN	0.04	U
AMRA1_HUMAN	BECN1_HUMAN	0.04	U
ANKH1_HUMAN	IF4E_HUMAN	0.04	U
ANKZ1_HUMAN	TERA_HUMAN	0.04	U
APC1_HUMAN	B4DL80_HUMAN	0.04	U
APC_HUMAN	CTNB1_HUMAN	0.04	U
ARF4_HUMAN	EGFR_HUMAN	0.04	U
ARHG7_HUMAN	GIT1_HUMAN	0.04	U
ARHG7_HUMAN	PAK1_HUMAN	0.04	U
ARHGC_HUMAN	RHOA_HUMAN	0.04	U
ARI2_HUMAN	UB2L3_HUMAN	0.04	U
ARID2_HUMAN	SMCE1_HUMAN	0.04	U
ARNT_HUMAN	HIF1A_HUMAN	0.04	U
ASF1A_HUMAN	B2R4R0_HUMAN	0.04	U
ASPP2_HUMAN	K7PPA8_HUMAN	0.04	U
ASXL2_HUMAN	BAP1_HUMAN	0.04	U
AT7L3_HUMAN	UBP22_HUMAN	0.04	U
ATAD2_HUMAN	SUMO2_HUMAN	0.04	U
ATF2_HUMAN	JUN_HUMAN	0.04	U
ATM_HUMAN	BAG6_HUMAN	0.04	D
ATM_HUMAN	BRCA1_HUMAN	0.04	D
ATM_HUMAN	DBF4A_HUMAN	0.04	D
ATM_HUMAN	DYRK2_HUMAN	0.04	D
ATM_HUMAN	HUWE1_HUMAN	0.04	D
ATM_HUMAN	PRKDC_HUMAN	0.04	D
ATM_HUMAN	RASF1_HUMAN	0.04	D
ATM_HUMAN	RIF1_HUMAN	0.04	D
ATM_HUMAN	SMC1A_HUMAN	0.04	D
ATM_HUMAN	TAOK3_HUMAN	0.04	D
ATM_HUMAN	UBR5_HUMAN	0.04	D
ATN1_HUMAN	RERE_HUMAN	0.04	U
ATN1_HUMAN	SIAH1_HUMAN	0.04	U
ATPG_HUMAN	EGFR_HUMAN	0.04	U
AUP1_HUMAN	UB2G2_HUMAN	0.04	U
AURKB_HUMAN	ATM_HUMAN	0.04	D
AURKB_HUMAN	DSN1_HUMAN	0.04	D
AURKB_HUMAN	H33_HUMAN	0.04	D
AURKB_HUMAN	HMGN2_HUMAN	0.04	D
AURKB_HUMAN	J3KNL2_HUMAN	0.04	U
AURKB_HUMAN	MBB1A_HUMAN	0.04	D
AURKB_HUMAN	PARD3_HUMAN	0.04	D
AXIN1_HUMAN	CTNB1_HUMAN	0.04	U
AXIN1_HUMAN	GSK3B_HUMAN	0.04	U
B0LPE5_HUMAN	B3KUN1_HUMAN	0.04	U
B0LPE5_HUMAN	GSK3B_HUMAN	0.04	U
B0LPE5_HUMAN	MDM2_HUMAN	0.04	U
B0LPE5_HUMAN	MTOR_HUMAN	0.04	U
B0QZ35_HUMAN	P53_HUMAN	0.04	U
B0QZ35_HUMAN	UBP22_HUMAN	0.04	U
B1AHB0_HUMAN	B4DWW4_HUMAN	0.04	U
B1AHB0_HUMAN	MCM2_HUMAN	0.04	U
B1AHB0_HUMAN	MCM3_HUMAN	0.04	U
B2R4R0_HUMAN	BPTF_HUMAN	0.04	U
B2R4R0_HUMAN	CENPA_HUMAN	0.04	U
B2R4R0_HUMAN	EP300_HUMAN	0.04	U
B2R4R0_HUMAN	KAT5_HUMAN	0.04	U
B2R5T5_HUMAN	BIG2_HUMAN	0.04	U
B2R5T5_HUMAN	KAPCA_HUMAN	0.04	U
B2RBV7_HUMAN	DDB1_HUMAN	0.04	U
B2RBV7_HUMAN	PHIP_HUMAN	0.04	U
B2RBV7_HUMAN	RBX1_HUMAN	0.04	U
B3KTM8_HUMAN	SIN3B_HUMAN	0.04	U
B3KUN1_HUMAN	IGBP1_HUMAN	0.04	U
B4DL80_HUMAN	CDC20_HUMAN	0.04	U
B4DL80_HUMAN	CDC26_HUMAN	0.04	U
B4DP61_HUMAN	COIL_HUMAN	0.04	U
B4DP61_HUMAN	DDX20_HUMAN	0.04	U
B4DP61_HUMAN	P53_HUMAN	0.04	U
B4DP61_HUMAN	SMD1_HUMAN	0.04	U
B4DQB3_HUMAN	NCOA1_HUMAN	0.04	U
B4DQB3_HUMAN	SND1_HUMAN	0.04	U
B4DWW4_HUMAN	GANP_HUMAN	0.04	U
B4E1U9_HUMAN	J3KN59_HUMAN	0.04	U
B4E1U9_HUMAN	PAK2_HUMAN	0.04	U
B4E1U9_HUMAN	PAK4_HUMAN	0.04	U
B4E1U9_HUMAN	WASP_HUMAN	0.04	U
B7Z240_HUMAN	EPN1_HUMAN	0.04	U
B7Z240_HUMAN	HGS_HUMAN	0.04	U
B7Z3D6_HUMAN	CCNB1_HUMAN	0.04	U
B7Z3D6_HUMAN	H15_HUMAN	0.04	U
B7Z3D6_HUMAN	RB_HUMAN	0.04	U
BAD_HUMAN	BCL2_HUMAN	0.04	U
BAD_HUMAN	D0PNI1_HUMAN	0.04	U
BAP1_HUMAN	FOXK1_HUMAN	0.04	U
BAP1_HUMAN	HCFC1_HUMAN	0.04	U
BAZ1A_HUMAN	SMCA5_HUMAN	0.04	U
BAZ1A_HUMAN	SUMO2_HUMAN	0.04	U
BAZ1B_HUMAN	SMCA5_HUMAN	0.04	U
BAZ2A_HUMAN	SMCA5_HUMAN	0.04	U
BCL2_HUMAN	BECN1_HUMAN	0.04	U
BCL2_HUMAN	BNIP3_HUMAN	0.04	U
BCL2_HUMAN	FKBP8_HUMAN	0.04	U
BCL6_HUMAN	BCOR_HUMAN	0.04	U
BCL6_HUMAN	HDAC1_HUMAN	0.04	U
BCL9_HUMAN	CTNB1_HUMAN	0.04	U
BCR_HUMAN	GRB2_HUMAN	0.04	U
BECN1_HUMAN	UVRAG_HUMAN	0.04	U
BICD1_HUMAN	GSK3B_HUMAN	0.04	U
BIRC5_HUMAN	BOREA_HUMAN	0.04	U
BLK_HUMAN	CBL_HUMAN	0.04	U
BLM_HUMAN	MLH1_HUMAN	0.04	U
BLM_HUMAN	P53_HUMAN	0.04	U
BLM_HUMAN	RMI1_HUMAN	0.04	U
BMI1_HUMAN	CBX4_HUMAN	0.04	U
BMI1_HUMAN	CBX8_HUMAN	0.04	U
BMI1_HUMAN	RING1_HUMAN	0.04	U
BNI3L_HUMAN	BNIP3_HUMAN	0.04	U
BNIP3_HUMAN	TMM11_HUMAN	0.04	U
BOREA_HUMAN	INCE_HUMAN	0.08	U
BRAP_HUMAN	RASH_HUMAN	0.04	U
BRCA1_HUMAN	MYC_HUMAN	0.04	U
BRPF1_HUMAN	KAT6A_HUMAN	0.2	U
BTF3_HUMAN	G4XH65_HUMAN	0.04	U
C1QBP_HUMAN	KPCA_HUMAN	0.04	U
C1QBP_HUMAN	KPCD1_HUMAN	0.04	U
C1QBP_HUMAN	KPCD_HUMAN	0.04	U
C8AP2_HUMAN	SUMO2_HUMAN	0.04	U
CADH1_HUMAN	CTNB1_HUMAN	0.04	U
CADH1_HUMAN	HAKAI_HUMAN	0.04	U
CAF1A_HUMAN	PCNA_HUMAN	0.04	U
CAF1B_HUMAN	H31_HUMAN	0.04	U
CALX_HUMAN	CFTR_HUMAN	0.04	U
CBL_HUMAN	CD2AP_HUMAN	0.04	U
CBL_HUMAN	CRKL_HUMAN	0.04	U
CBL_HUMAN	EGFR_HUMAN	0.04	U
CBL_HUMAN	GRB2_HUMAN	0.04	U
CBL_HUMAN	L7RT18_HUMAN	0.04	U
CBL_HUMAN	NCK1_HUMAN	0.04	U
CBL_HUMAN	PLCG1_HUMAN	0.04	U
CBL_HUMAN	UB2D2_HUMAN	0.04	U
CBP_HUMAN	IRF3_HUMAN	0.04	U
CBP_HUMAN	STAT1_HUMAN	0.04	U
CBX4_HUMAN	CTBP1_HUMAN	0.04	U
CBX5_HUMAN	H31_HUMAN	0.04	U
CBX5_HUMAN	LBR_HUMAN	0.04	U
CBX5_HUMAN	NIPBL_HUMAN	0.04	U
CBX5_HUMAN	TIF1B_HUMAN	0.04	U
CBX8_HUMAN	MOV10_HUMAN	0.04	U
CCAR2_HUMAN	SIR1_HUMAN	0.04	U
CCNB1_HUMAN	CDC20_HUMAN	0.04	U
CCND3_HUMAN	CDK4_HUMAN	0.04	U
CCNE1_HUMAN	CDN1A_HUMAN	0.04	U
CCNE1_HUMAN	FBXW7_HUMAN	0.04	U
CCNT1_HUMAN	CDK9_HUMAN	0.04	U
CCNT1_HUMAN	MYC_HUMAN	0.04	U
CD2A2_HUMAN	CDK4_HUMAN	0.04	U
CD2A2_HUMAN	MDM2_HUMAN	0.04	U
CD2A2_HUMAN	TRIPC_HUMAN	0.04	U
CD2AP_HUMAN	CD2_HUMAN	0.04	U
CD2AP_HUMAN	MB12A_HUMAN	0.04	U
CD2B2_HUMAN	CD2_HUMAN	0.04	U
CD2B2_HUMAN	PRP6_HUMAN	0.04	U
CD3E_HUMAN	NCK1_HUMAN	0.04	U
CD3Z_HUMAN	ZAP70_HUMAN	0.04	U
CDAN1_HUMAN	PCNA_HUMAN	0.04	U
CDC20_HUMAN	PTTG1_HUMAN	0.04	U
CDC42_HUMAN	GDIR1_HUMAN	0.04	U
CDC42_HUMAN	PAK1_HUMAN	0.04	U
CDC42_HUMAN	WASP_HUMAN	0.04	U
CDC5L_HUMAN	PRP19_HUMAN	0.04	U
CDC5L_HUMAN	TTF2_HUMAN	0.04	U
CDC6_HUMAN	ORC1_HUMAN	0.04	U
CDC73_HUMAN	CTNB1_HUMAN	0.04	U
CDC73_HUMAN	CTR9_HUMAN	0.04	U
CDC73_HUMAN	LEO1_HUMAN	0.04	U
CDC7_HUMAN	DBF4A_HUMAN	0.04	U
CDC7_HUMAN	MCM2_HUMAN	0.04	D
CDC7_HUMAN	PSIP1_HUMAN	0.04	D
CDK1_HUMAN	CND3_HUMAN	0.04	D
CDK1_HUMAN	DDX3X_HUMAN	0.04	D
CDK1_HUMAN	DLGP5_HUMAN	0.04	D
CDK1_HUMAN	FOXK2_HUMAN	0.04	D
CDK1_HUMAN	MAP4_HUMAN	0.04	D
CDK1_HUMAN	MK06_HUMAN	0.04	D
CDK1_HUMAN	MPLKI_HUMAN	0.04	D
CDK1_HUMAN	NPM_HUMAN	0.04	D
CDK1_HUMAN	NUP98_HUMAN	0.04	D
CDK1_HUMAN	NUSAP_HUMAN	0.04	D
CDK2_HUMAN	ARI4A_HUMAN	0.04	D
CDK2_HUMAN	ASHWN_HUMAN	0.04	D
CDK2_HUMAN	BAP18_HUMAN	0.04	D
CDK2_HUMAN	BD1L1_HUMAN	0.04	D
CDK2_HUMAN	CDC6_HUMAN	0.04	D
CDK2_HUMAN	CI040_HUMAN	0.04	D
CDK2_HUMAN	DNLI1_HUMAN	0.04	D
CDK2_HUMAN	DNLI3_HUMAN	0.04	D
CDK2_HUMAN	H10_HUMAN	0.04	U
CDK2_HUMAN	H15_HUMAN	0.04	U
CDK2_HUMAN	HIRA_HUMAN	0.04	D
CDK2_HUMAN	MILK1_HUMAN	0.04	D
CDK2_HUMAN	NPAT_HUMAN	0.04	D
CDK2_HUMAN	NU133_HUMAN	0.04	D
CDK2_HUMAN	PB1_HUMAN	0.04	D
CDK2_HUMAN	PRP31_HUMAN	0.04	D
CDK2_HUMAN	PTN2_HUMAN	0.04	D
CDK2_HUMAN	TCOF_HUMAN	0.04	D
CDK4_HUMAN	CDN1A_HUMAN	0.04	U
CDK9_HUMAN	DHX30_HUMAN	0.04	U
CDK9_HUMAN	ELL2_HUMAN	0.04	U
CDK9_HUMAN	RPB1_HUMAN	0.04	D
CDN1A_HUMAN	PCNA_HUMAN	0.04	U
CDT1_HUMAN	PCNA_HUMAN	0.04	U
CENPA_HUMAN	HJURP_HUMAN	0.04	U
CEP55_HUMAN	TS101_HUMAN	0.04	U
CEP72_HUMAN	PCM1_HUMAN	0.2	U
CFTR_HUMAN	NHRF1_HUMAN	0.04	U
CHAP1_HUMAN	SUMO2_HUMAN	0.04	U
CHD3_HUMAN	SUMO2_HUMAN	0.04	U
CHD4_HUMAN	HDAC1_HUMAN	0.04	U
CHERP_HUMAN	SNR27_HUMAN	0.04	U
CHIP_HUMAN	HS90A_HUMAN	0.04	U
CHIP_HUMAN	HSP74_HUMAN	0.04	U
CHK1_HUMAN	2A5D_HUMAN	0.04	D
CHK1_HUMAN	AURKB_HUMAN	0.04	D
CHK1_HUMAN	CLSPN_HUMAN	0.04	D
CHK1_HUMAN	MPIP1_HUMAN	0.04	D
CHK1_HUMAN	P53_HUMAN	0.04	D
CIR1_HUMAN	SRSF2_HUMAN	0.04	U
CLK4_HUMAN	UBL5_HUMAN	0.2	U
CND1_HUMAN	CND3_HUMAN	0.1	U
CND2_HUMAN	CND3_HUMAN	0.12	U
CND3_HUMAN	SMC4_HUMAN	0.04	U
CNOT2_HUMAN	CNOT3_HUMAN	0.08	U
COIL_HUMAN	VRK1_HUMAN	0.04	U
COMD1_HUMAN	COMD6_HUMAN	0.04	U
COMD1_HUMAN	CUL2_HUMAN	0.04	U
CPSF5_HUMAN	RLA1_HUMAN	0.04	U
CSK21_HUMAN	AN32B_HUMAN	0.04	D
CSK21_HUMAN	CD5_HUMAN	0.04	D
CSK21_HUMAN	CTDP1_HUMAN	0.04	D
CSK21_HUMAN	EF1B_HUMAN	0.04	U
CSK21_HUMAN	HIRP3_HUMAN	0.04	U
CSK21_HUMAN	HMGN1_HUMAN	0.04	D
CSK21_HUMAN	IKBA_HUMAN	0.04	D
CSK21_HUMAN	LA_HUMAN	0.04	D
CSK21_HUMAN	MRP1_HUMAN	0.04	D
CSK21_HUMAN	N0E4C7_HUMAN	0.04	U
CSK21_HUMAN	PRPF3_HUMAN	0.04	D
CSK21_HUMAN	RNPS1_HUMAN	0.04	D
CSK21_HUMAN	ROA2_HUMAN	0.04	U
CSK21_HUMAN	RRN3_HUMAN	0.04	D
CSN1_HUMAN	CSN3_HUMAN	0.04	U
CSN3_HUMAN	CSN5_HUMAN	0.04	U
CSN5_HUMAN	CUL1_HUMAN	0.04	U
CTBP1_HUMAN	HDAC1_HUMAN	0.04	U
CTBP1_HUMAN	LCOR_HUMAN	0.04	U
CTBP1_HUMAN	ZEB1_HUMAN	0.04	U
CTCF_HUMAN	SUMO2_HUMAN	0.04	U
CTNB1_HUMAN	HINT1_HUMAN	0.04	U
CTNB1_HUMAN	PSN1_HUMAN	0.04	U
CTRO_HUMAN	RHOA_HUMAN	0.04	U
CUL1_HUMAN	RBX1_HUMAN	0.04	U
CUL2_HUMAN	VHL_HUMAN	0.04	U
CUL3_HUMAN	KCTD5_HUMAN	0.04	U
CUL3_HUMAN	KEAP1_HUMAN	0.04	U
CUL3_HUMAN	SHKB1_HUMAN	0.04	U
CUL4A_HUMAN	DDB1_HUMAN	0.04	U
CYBP_HUMAN	SIAH1_HUMAN	0.04	U
D0PNI1_HUMAN	L7RRS6_HUMAN	0.04	U
D0PNI1_HUMAN	MPIP2_HUMAN	0.04	U
D0PNI1_HUMAN	RGS3_HUMAN	0.04	U
D0PNI1_HUMAN	TSC2_HUMAN	0.04	U
D0PNI1_HUMAN	VIME_HUMAN	0.04	U
DAXX_HUMAN	ETS1_HUMAN	0.04	U
DAXX_HUMAN	MCRS1_HUMAN	0.04	U
DAXX_HUMAN	MDM2_HUMAN	0.04	U
DCAF5_HUMAN	DDB1_HUMAN	0.04	U
DCP1A_HUMAN	DCP2_HUMAN	0.08	U
DCP1A_HUMAN	RENT1_HUMAN	0.04	U
DCP1B_HUMAN	DCP2_HUMAN	0.08	U
DCP2_HUMAN	EDC4_HUMAN	0.08	U
DDA1_HUMAN	DDB1_HUMAN	0.04	U
DDX21_HUMAN	JUN_HUMAN	0.04	U
DHX15_HUMAN	RBM5_HUMAN	0.04	U
DMAP1_HUMAN	RMP_HUMAN	0.04	U
DMAP1_HUMAN	TS101_HUMAN	0.04	U
DNM3B_HUMAN	DNMT1_HUMAN	0.04	U
DNMT1_HUMAN	PCNA_HUMAN	0.04	U
DNMT1_HUMAN	UHRF1_HUMAN	0.04	U
DOCK2_HUMAN	RAC2_HUMAN	0.15	U
DOK2_HUMAN	NCK1_HUMAN	0.04	U
DP13A_HUMAN	HDAC2_HUMAN	0.04	U
DP13A_HUMAN	RAB5A_HUMAN	0.04	U
DPOE1_HUMAN	PCNA_HUMAN	0.04	U
DTX3L_HUMAN	UB2D2_HUMAN	0.04	U
DX39B_HUMAN	THOC5_HUMAN	0.04	U
DYR1A_HUMAN	SF3B1_HUMAN	0.04	D
DYRK2_HUMAN	KTNA1_HUMAN	0.04	D
E2F1_HUMAN	RBL1_HUMAN	0.04	U
E2F1_HUMAN	RB_HUMAN	0.04	U
E2F1_HUMAN	SP2_HUMAN	0.04	U
E2F1_HUMAN	TFDP2_HUMAN	0.04	U
E2F2_HUMAN	RB_HUMAN	0.04	U
E2F3_HUMAN	RB_HUMAN	0.04	U
E9KL35_HUMAN	LAR4B_HUMAN	0.04	U
E9KL35_HUMAN	SRC_HUMAN	0.04	U
E9KL35_HUMAN	TYK2_HUMAN	0.04	U
EDF1_HUMAN	TBP_HUMAN	0.04	U
EF1B_HUMAN	EF1G_HUMAN	0.04	U
EGFR_HUMAN	HGS_HUMAN	0.04	U
EGFR_HUMAN	NCK2_HUMAN	0.04	U
EGFR_HUMAN	PTN1_HUMAN	0.04	D
EGFR_HUMAN	SH3L1_HUMAN	0.04	U
EGFR_HUMAN	STA5B_HUMAN	0.04	U
EIF3A_HUMAN	EIF3C_HUMAN	0.04	U
EIF3A_HUMAN	EIF3F_HUMAN	0.04	U
EIF3A_HUMAN	IF4B_HUMAN	0.04	U
EIF3A_HUMAN	RENT1_HUMAN	0.04	U
EIF3F_HUMAN	EIF3M_HUMAN	0.04	U
ELF1_HUMAN	SP1_HUMAN	0.04	U
ELOA1_HUMAN	ELOB_HUMAN	0.04	U
ELOB_HUMAN	VHL_HUMAN	0.04	U
EMD_HUMAN	LMNA_HUMAN	0.04	U
EMD_HUMAN	YTDC1_HUMAN	0.04	U
EP300_HUMAN	G4XH65_HUMAN	0.04	U
EP300_HUMAN	H31_HUMAN	0.04	U
EP300_HUMAN	HIF1A_HUMAN	0.04	U
EP300_HUMAN	JMY_HUMAN	0.04	U
EP300_HUMAN	JUN_HUMAN	0.04	U
EP300_HUMAN	NP1L1_HUMAN	0.04	U
EP300_HUMAN	P53_HUMAN	0.04	U
EP300_HUMAN	SMAD3_HUMAN	0.04	U
EP400_HUMAN	KAT5_HUMAN	0.04	U
ERBB2_HUMAN	DOCK7_HUMAN	0.04	D
ERBB2_HUMAN	HS90A_HUMAN	0.04	U
EXOS5_HUMAN	EXOSX_HUMAN	0.04	U
EXOS5_HUMAN	PO210_HUMAN	0.04	U
EXOS5_HUMAN	SFPQ_HUMAN	0.04	U
FADD_HUMAN	RIPK1_HUMAN	0.04	U
FADD_HUMAN	TNR6_HUMAN	0.04	U
FBXW7_HUMAN	NOTC1_HUMAN	0.04	U
FEN1_HUMAN	PCNA_HUMAN	0.04	U
FEN1_HUMAN	WRN_HUMAN	0.04	U
FINC_HUMAN	TSP1_HUMAN	0.04	U
FKBP4_HUMAN	HS90A_HUMAN	0.04	U
FLII_HUMAN	LRRF1_HUMAN	0.05	U
FNBP4_HUMAN	KHDR1_HUMAN	0.04	U
FOSL1_HUMAN	JUN_HUMAN	0.04	U
FOSL1_HUMAN	USF1_HUMAN	0.04	U
FXR1_HUMAN	FXR2_HUMAN	0.04	U
FYN_HUMAN	AGAP2_HUMAN	0.04	D
FYN_HUMAN	ITPR1_HUMAN	0.04	D
FYN_HUMAN	KHDR1_HUMAN	0.04	U
G45IP_HUMAN	GA45G_HUMAN	0.04	U
G4XH65_HUMAN	MED1_HUMAN	0.04	U
G4XH65_HUMAN	NCOA1_HUMAN	0.04	U
G4XH65_HUMAN	NCOA2_HUMAN	0.04	U
G4XH65_HUMAN	NCOA3_HUMAN	0.04	U
G4XH65_HUMAN	PHB2_HUMAN	0.04	U
G4XH65_HUMAN	SAFB1_HUMAN	0.04	U
G4XH65_HUMAN	SRC_HUMAN	0.04	U
G4XH65_HUMAN	TADA3_HUMAN	0.04	U
G4XH65_HUMAN	TDIF2_HUMAN	0.04	U
G4XH65_HUMAN	TRAM1_HUMAN	0.04	U
GA45G_HUMAN	PCNA_HUMAN	0.04	U
GA45G_HUMAN	UT14A_HUMAN	0.04	U
GBRL2_HUMAN	NIPS2_HUMAN	0.04	U
GBRL2_HUMAN	SQSTM_HUMAN	0.04	U
GDIR1_HUMAN	RAC2_HUMAN	0.04	U
GDIR1_HUMAN	RHOA_HUMAN	0.04	U
GGA3_HUMAN	RABE1_HUMAN	0.04	U
GRAP2_HUMAN	LCP2_HUMAN	0.12	U
GSE1_HUMAN	RCOR3_HUMAN	0.04	U
GSK3B_HUMAN	CLAP2_HUMAN	0.04	D
GSK3B_HUMAN	IPP2_HUMAN	0.04	D
GSK3B_HUMAN	SPAG5_HUMAN	0.04	D
H12_HUMAN	SUMO2_HUMAN	0.04	U
H13_HUMAN	SUMO1_HUMAN	0.04	U
H2AX_HUMAN	MDC1_HUMAN	0.04	U
H2AX_HUMAN	TP53B_HUMAN	0.04	U
H31_HUMAN	WDR5_HUMAN	0.04	U
H32_HUMAN	UHRF1_HUMAN	0.04	U
HCFC1_HUMAN	OGT1_HUMAN	0.04	U
HCFC1_HUMAN	WDR5_HUMAN	0.04	U
HCK_HUMAN	ELMO1_HUMAN	0.04	D
HCK_HUMAN	WASP_HUMAN	0.04	U
HDAC1_HUMAN	HDAC2_HUMAN	0.04	U
HDAC1_HUMAN	KDM1A_HUMAN	0.04	U
HDAC1_HUMAN	MTA2_HUMAN	0.04	U
HDAC1_HUMAN	NSD2_HUMAN	0.04	U
HDAC1_HUMAN	P66A_HUMAN	0.04	U
HDAC1_HUMAN	P66B_HUMAN	0.04	U
HDAC1_HUMAN	RB_HUMAN	0.04	U
HDAC1_HUMAN	SIN3A_HUMAN	0.04	U
HDAC1_HUMAN	SIN3B_HUMAN	0.04	U
HDAC1_HUMAN	SP1_HUMAN	0.04	U
HDAC4_HUMAN	MEF2D_HUMAN	0.04	U
HERC2_HUMAN	RNF8_HUMAN	0.05	U
HGS_HUMAN	TS101_HUMAN	0.04	U
HIF1A_HUMAN	HS90A_HUMAN	0.04	U
HIF1A_HUMAN	VHL_HUMAN	0.04	U
HIRA_HUMAN	UBN1_HUMAN	0.04	U
HMGA1_HUMAN	SP1_HUMAN	0.04	U
HNRH3_HUMAN	ROA1_HUMAN	0.04	U
HNRPF_HUMAN	SUMO1_HUMAN	0.04	U
HNRPK_HUMAN	RBM42_HUMAN	0.04	U
HNRPK_HUMAN	RBMX_HUMAN	0.04	U
HP1B3_HUMAN	SUMO2_HUMAN	0.04	U
HS90A_HUMAN	HS90B_HUMAN	0.04	U
HS90A_HUMAN	HSF1_HUMAN	0.04	U
HSF1_HUMAN	SYMPK_HUMAN	0.04	U
HSP74_HUMAN	SODC_HUMAN	0.04	U
I2BPL_HUMAN	SUMO2_HUMAN	0.04	U
ICLN_HUMAN	SMD1_HUMAN	0.04	U
IF16_HUMAN	K7PPA8_HUMAN	0.04	U
